OrgID,FisYear,CDFlag,FeedDate,FYEndDate,CG_BD_BF,CG_BD_BS,CG_BD_CP,CG_In_VS,CG_Sh_SR,Ec_Ma_Pe,Ec_Pr_SL,Ec_Re_CL,En_En_ER,En_En_PI,En_En_RR,So_Cu_PR,So_So_Co,So_So_HR,So_Wo_DO,So_Wo_EQ,So_Wo_HS,So_Wo_TD,Score,CScore,ControversiesScore,ResourceUseScore,EmissionsScore,InnovationScore,WorkforceScore,HumanRightsScore,CommunityScore,ProductRespScore,ManagementScore,ShareholdersScore,CSRStrategyScore,Asset4Id,OrgName,BusTRBCId,PrimExchg,StatusFlag,OAId,tick,Cusip,Sedol,Isin
12286,2011,500,24/04/2022,31/12/2011,0.839023,0.710498,0.555146,0.938064,0.879471,0.804036,0.850004,0.79427,0.927589,0.948513,0.935182,0.728474,0.854076,0.9266,0.814882,0.797485,0.972674,0.8347,0.7329779667,0.4164889834,0.1,0.7093023256,0.4069767442,0.625,0.9489795918,0.9615384615,0.8645833333,0.9456521739,0.4228426396,0.685786802,0.9942748092,A4_00168,Coca-Cola Co,5410,NYSE,1,4295903091,KO,19121610,220665,US1912161007
12286,2015,500,24/04/2022,31/12/2015,0.506325,0.711026,0.852246,0.937742,0.844207,0.925616,0.962503,0.942676,0.943105,0.957691,0.892473,0.971393,0.656467,0.954694,0.903253,0.567491,0.971127,0.832774,0.7289132775,0.5073137816,0.2857142857,0.6276595745,0.40625,0.6470588235,0.5566037736,0.9,0.8018867925,0.8469387755,0.9182603331,0.5024676126,0.9925496689,A4_00168,Coca-Cola Co,5410,NYSE,1,4295903091,KO,19121610,220665,US1912161007
12286,2021,510,24/04/2022,,0.507345,0.305877,0.571247,0.94259,0.821322,0.341856,0.837264,0.271883,0.918434,0.926153,0.941612,0.53867,0.912789,0.606929,0.901293,0.17771,0.958699,0.849169,0.7943123714,0.7596561857,0.725,0.8430232558,0.4945652174,0.9150943396,0.9234693878,0.9,0.8724489796,0.7849462366,0.7672184452,0.5750812888,0.9966504263,A4_00168,Coca-Cola Co,5410,NYSE,1,4295903091,KO,19121610,220665,US1912161007
12286,2020,500,24/04/2022,31/12/2020,0.437343,0.329981,0.442018,0.94224,0.799187,0.370199,0.898203,0.283251,0.922947,0.934968,0.938052,0.567166,0.911671,0.542406,0.908859,0.332331,0.956961,0.849174,0.7748634881,0.4945746012,0.2142857143,0.8253012048,0.4775280899,0.9245283019,0.9322916667,0.9054054054,0.8697916667,0.7888888889,0.6712756467,0.5443056795,0.9966666667,A4_00168,Coca-Cola Co,5410,NYSE,1,4295903091,KO,19121610,220665,US1912161007
12286,2018,500,24/04/2022,31/12/2018,0.315178,0.216564,0.329421,0.949894,0.733935,0.864142,0.885003,0.520896,0.938659,0.949815,0.938191,0.544203,0.817605,0.908164,0.808261,0.487219,0.952134,0.876021,0.6860438953,0.3657492204,0.0454545455,0.8015873016,0.4921875,0.6279069767,0.7602739726,0.862745098,0.6643835616,0.75,0.4327885257,0.7436624416,0.9958726415,A4_00168,Coca-Cola Co,5410,NYSE,1,4295903091,KO,19121610,220665,US1912161007
12286,2017,500,24/04/2022,31/12/2017,0.449419,0.793452,0.461942,0.950836,0.859806,0.937396,0.863397,0.522597,0.953795,0.977315,0.939117,0.90563,0.582056,0.954703,0.935867,0.897196,0.975486,0.863369,0.7426051587,0.3963025793,0.05,0.8684210526,0.7203389831,0.630952381,0.7112676056,0.8636363636,0.6408450704,0.9322033898,0.4644085282,0.7594566713,0.9406077348,A4_00168,Coca-Cola Co,5410,NYSE,1,4295903091,KO,19121610,220665,US1912161007
12287,2012,500,24/04/2022,31/12/2012,0.856758,0.884442,0.642052,0.642381,0.914911,0.695807,0.303645,0.646272,0.829941,0.437298,0.901394,0.435641,0.502795,0.945536,0.936988,0.927237,0.91202,0.853046,0.8275831505,0.5093798105,0.1911764706,0.9318181818,0.9952830189,0,0.8149606299,0.8880597015,0.956,0.9117647059,0.6356628983,0.7435765673,0.6981651376,A4_00043,Altria Group Inc,5410,NYSE,1,4295903207,MO,02209S10,269263,US02209S1033
12287,2018,500,24/04/2022,31/12/2018,0.8803,0.869298,0.41913,0.91332,0.86197,0.96129,0.836763,0.787788,0.949506,0.845263,0.910723,0.970897,0.947317,0.908164,0.947738,0.861872,0.804412,0.90096,0.8735489466,0.8735489466,1,0.8574879227,0.9975728155,0.5357142857,0.9855967078,0.9341317365,0.9485596708,0.8933333333,0.6886257505,0.858072048,0.8443396226,A4_00043,Altria Group Inc,5410,NYSE,1,4295903207,MO,02209S10,269263,US02209S1033
12287,2019,500,24/04/2022,31/12/2019,0.874308,0.90645,0.618834,0.934529,0.865462,0.427256,0.06024,0.252167,0.93693,0.423492,0.913472,0.527648,0.483414,0.89526,0.771471,0.174608,0.872384,0.888402,0.8818367835,0.4706802965,0.0595238095,0.8596837945,0.9899598394,0.5496453901,0.9740484429,0.927184466,0.9429065744,0.8787313433,0.7814791202,0.798055467,0.8484042553,A4_00043,Altria Group Inc,5410,NYSE,1,4295903207,MO,02209S10,269263,US02209S1033
12287,2017,500,24/04/2022,31/12/2017,0.888638,0.947441,0.716336,0.893617,0.908048,0.939292,0.827274,0.625022,0.928638,0.772829,0.90647,0.529918,0.783406,0.947409,0.962999,0.963694,0.771296,0.933749,0.8726562481,0.8470424098,0.8214285714,0.7576687117,0.9968944099,0.5517241379,0.9637681159,0.9285714286,0.7898550725,0.9026315789,0.8275447043,0.9169532325,0.8494475138,A4_00043,Altria Group Inc,5410,NYSE,1,4295903207,MO,02209S10,269263,US02209S1033
12287,2021,510,24/04/2022,,0.886623,0.873518,0.535039,0.923387,0.637604,0.731407,0.074311,0.609006,0.930458,0.407874,0.916582,0.539902,0.791187,0.887892,0.866542,0.917632,0.849153,0.881806,0.8196174237,0.7498087119,0.68,0.8844827586,0.9880136986,0.4911242604,0.9922360248,0.9291666667,0.7398753894,0.872909699,0.4875849837,0.8626958321,0.8590133983,A4_00043,Altria Group Inc,5410,NYSE,1,4295903207,MO,02209S10,269263,US02209S1033
12287,2015,500,24/04/2022,31/12/2015,0.907446,0.929393,0.737113,0.829927,0.925817,0.927625,0.838683,0.656509,0.89284,0.78137,0.923434,0.712148,0.906787,0.947885,0.952232,0.955061,0.846587,0.924671,0.8348051651,0.7858236352,0.7368421053,0.8843283582,0.996124031,0.5793650794,0.8403614458,0.7819148936,0.9487951807,0.7549019608,0.7516964837,0.8288093769,0.8493377483,A4_00043,Altria Group Inc,5410,NYSE,1,4295903207,MO,02209S10,269263,US02209S1033
12287,2020,500,24/04/2022,31/12/2020,0.827216,0.852907,0.38928,0.92024,0.584202,0.741495,0.064191,0.912033,0.932458,0.41899,0.912987,0.539708,0.798902,0.890927,0.880182,0.925638,0.855498,0.879125,0.8058277394,0.5254628893,0.2450980392,0.8832752613,0.9809688581,0.5147928994,0.9953416149,0.9324894515,0.7523364486,0.8775167785,0.4030627416,0.8443354148,0.8563333333,A4_00043,Altria Group Inc,5410,NYSE,1,4295903207,MO,02209S10,269263,US02209S1033
12287,2010,500,24/04/2022,31/12/2010,0.85161,0.901298,0.600956,0.651392,0.966118,0.838432,0.701134,0.404794,0.864752,0.161209,0.91167,0.545904,0.521652,0.973668,0.954975,0.961871,0.893092,0.924921,0.8130629603,0.4779600516,0.1428571429,0.9277777778,0.9722222222,0,0.8472222222,0.8645833333,0.9398148148,0.82,0.5964824121,0.8718592965,0.76,A4_00043,Altria Group Inc,5410,NYSE,1,4295903207,MO,02209S10,269263,US02209S1033
12287,2011,500,24/04/2022,31/12/2011,0.85206,0.904613,0.811595,0.542024,0.758932,0.827626,0.361373,0.618501,0.846935,0.502788,0.924196,0.44599,0.93604,0.961264,0.945949,0.92668,0.933685,0.852599,0.8669397788,0.5434698894,0.22,0.953125,0.9947916667,0,0.8008474576,0.8703703704,0.8686440678,0.9227272727,0.8908629442,0.7598984772,0.731870229,A4_00043,Altria Group Inc,5410,NYSE,1,4295903207,MO,02209S10,269263,US02209S1033
12287,2013,500,24/04/2022,31/12/2013,0.853644,0.899898,0.668339,0.768209,0.912458,0.683071,0.395023,0.587647,0.837056,0.442929,0.910753,0.482073,0.918807,0.942831,0.945341,0.963959,0.84254,0.866978,0.8552881676,0.7079471141,0.5606060606,0.9419642857,0.9954954955,0,0.7481203008,0.8285714286,0.9730769231,0.9153225806,0.8223480947,0.7646755922,0.8503649635,A4_00043,Altria Group Inc,5410,NYSE,1,4295903207,MO,02209S10,269263,US02209S1033
12287,2014,500,24/04/2022,31/12/2014,0.901689,0.908663,0.8395,0.770616,0.920807,0.916271,0.612182,0.913629,0.852716,0.458521,0.912375,0.23937,0.897463,0.685586,0.944383,0.952292,0.789149,0.701805,0.8044593063,0.4704114713,0.1363636364,0.936440678,0.9956521739,0,0.7389705882,0.8181818182,0.8259259259,0.68359375,0.7510309278,0.9159793814,0.862037037,A4_00043,Altria Group Inc,5410,NYSE,1,4295903207,MO,02209S10,269263,US02209S1033
12287,2016,500,24/04/2022,31/12/2016,0.881117,0.93869,0.598358,0.876581,0.977961,0.908078,0.915089,0.952787,0.91456,0.725445,0.882521,0.769066,0.929041,0.948808,0.958346,0.963723,0.865352,0.931387,0.8652784583,0.8652784583,1,0.7653061224,0.9964285714,0.5608108108,0.9758064516,0.9464285714,0.8037634409,0.8959537572,0.7882882883,0.8105963106,0.8504601227,A4_00043,Altria Group Inc,5410,NYSE,1,4295903207,MO,02209S10,269263,US02209S1033
15104,2015,500,24/04/2022,31/12/2015,0.552489,0.80033,0.729669,0.928077,0.777169,0.957856,0.729325,0.928082,0.86456,0.970036,0.741099,0.976164,0.848409,0.946383,0.957656,0.888812,0.967267,0.921184,0.8409469107,0.8409469107,0.875,0.89,0.798013245,0.9098360656,0.9011976048,0.9405940594,0.9311377246,0.9440789474,0.5283775447,0.7967304133,0.9842715232,A4_00005,Dow Chemical Co,5110,NYSE,0,4295903880,DOW,26054310,227871,US2605431038
